Hindi,English
जैसा,as
मैं,I
उसके,his
कि,that
वह,he
था,was
के लिए,for
पर,on
हैं,are
साथ,with
हो,be
पर,at
एक,one
है,have
इस,this
से,from
लेकिन,but
क्या,what
कुछ,some
है,is
यह,it
आप,you
या,or
था,had
की,of
तक,to
और,and
एक,a
में,in
हम,we
बाहर,out
अन्य,other
थे,were
कर,do
उनके,their
समय,time
अगर,if
कैसे,how
कहा,said
एक,an
प्रत्येक,each
करता है,does
सेट,set
चाहते हैं,want
हवा,air
अच्छी तरह से,well
भी,also
खेलने,play
छोटे,small
अंत,end
डाल,put
पढ़ा,read
हाथ,hand
बंदरगाह,port
बड़ा,large
जादू,spell
जोड़,add
और भी,even
भूमि,land
यहाँ,here
चाहिए,must
बड़ा,big
उच्च,high
ऐसा,such
अधिनियम,act
क्यों,why
पूछना,ask
पुरुषों,men
परिवर्तन,change
चला गया,went
प्रकाश,light
तरह,kind
बंद,off
आवश्यकता,need
घर,house
कोशिश,try
हमें,us
फिर,again
पशु,animal
बिंदु,point
मां,mother
दुनिया,world
निकट,near
बनाना,build
आत्म,self
पृथ्वी,earth
पिता,father
किसी भी,any
नई,new
काम,work
हिस्सा,part
लेना,take
प्राप्त,get
जगह,place
निर्मित,made
जीना,live
जहां,where
के बाद,after
वापस,back
थोड़ा,little
केवल,only
आदमी,man
वर्ष,year
शो,show
हर,every
मुझे,me
हमारे,our
नीचे,under
नाम,name
बहुत,very
के माध्यम से,through
बस,just
फार्म,form
वाक्य,sentence
महान,great
लगता है,think
मदद,help
कम,low
रेखा,line
अलग,differ
बारी,turn
कारण,cause
ज्यादा,much
पहले,before
चाल,move
लड़का,boy
पुराना,old
भी,too
वही,same
वह,she
सब,all
वहाँ,there
जब,when
ऊपर,up
उपयोग,use
अपने,your
रास्ता,way
के बारे में,about
कई,many
तो,then
लिखना,write
होगा,would
जैसा,like
तो,so
इन,these
उसके,her
लंबे समय तक,long
कर,make
बात,thing
देखना,see
है,has
देखो,look
अधिक,more
दिन,day
सकता है,could
जाना,go
आ,come
किया,did
संख्या,number
ध्वनि,sound
सबसे,most
लोग,people
मेरे,my
अधिक,over
पता,know
पानी,water
से,than
कॉल,call
पहले,first
कौन,who
मई,may
अब,now
लगता है,find
सिर,head
खड़े,stand
पेज,page
चाहिए,should
देश,country
जवाब,answer
स्कूल,school
बढ़ने,grow
अध्ययन,study
अब तक,still
सीखना,learn
संयंत्र,plant
सूरज,sun
के बीच,between
राज्य,state
रखना,keep
आंख,eye
कभी नहीं,never
पिछले,last
चलो,let
सोचा,thought
शहर,city
पेड़,tree
पार,cross
खेत,farm
कठिन,hard
शुरुआत,start
हो सकता है,might
कहानी,story
देखा,saw
समुद्र,sea
छोड़ा,left
चलाने,run
ऐसा नहीं,don’t
प्रेस,press
करीब,close
रात,night
असली,real
जीवन,life
उत्तर,north
ले,carry
ले लिया,took
खाने,eat
कमरे,room
दोस्त,friend
शुरू हुआ,began
विचार,idea
मछली,fish
पहाड़,mountain
रोक,stop
आधार,base
सुनना,hear
घोड़ा,horse
कटौती,cut
यकीन,sure
घड़ी,watch
रंग,color
चेहरा,face
लकड़ी,wood
मुख्य,main
खुला,open
प्रतीत,seem
अगला,next
सफेद,white
बच्चों,children
प्रारंभ करना,begin
उदाहरण,example
कागज,paper
समूह,group
सदैव,always
संगीत,music
उन,those
दोनों,both
मार्क,mark
अक्सर,often
जब तक,until
नदी,river
कार,car
पैर,feet
देखभाल,care
दूसरा,second
पर्याप्त,enough
सादे,plain
लड़की,girl
हमेशा की तरह,usual
तैयार,ready
ऊपर,above
कभी,ever
लाल,red
सूची,list
पक्षी,bird
शीघ्र,soon
शरीर,body
कुत्ते,dog
परिवार,family
प्रत्यक्ष,direct
ढोंग,pose
छोड़,leave
गीत,song
नाप,measure
दरवाजा,door
उत्पाद,product
काला,black
कम,short
अंक,numeral
क्लास,class
हवा,wind
होना,happen
जहाज,ship
क्षेत्र,area
रॉक,rock
आदेश,order
आग,fire
दक्षिण,south
समस्या,problem
टुकड़ा,piece
बताया,told
पता था,knew
पास,pass
के बाद से,since
शीर्ष,top
पूरे,whole
राजा,king
सड़क,street
इंच,inch
गुणा,multiply
कुछ नहीं,nothing
कोर्स,course
रहना,stay
पहिया,wheel
पूर्ण,full
बल,force
नीला,blue
वस्तु,object
तय,decide
सतह,surface
गहरा,deep
द्वीप,island
पैर,foot
प्रणाली,system
व्यस्त,busy
रिकॉर्ड,record
नाव,boat
आम,common
संभव,possible
विमान,plane
जगह,stead
सूखा,dry
आश्चर्य,wonder
हंसी,laugh
हजार,thousand
पहले,ago
भागा,ran
जाँच,check
खेल,game
आकार,shape
समानता,equate
गरम,hot
मिस,miss
लाया,brought
गर्मी,heat
बर्फ,snow
टायर,tire
लाना,bring
हां,yes
दूर,distant
भरने,fill
पूर्व,east
रंग,paint
के बीच,among
इकाई,unit
बिजली,power
शहर,town
ठीक,fine
कुछ,certain
मक्खी,fly
गिरावट,fall
नेतृत्व,lead
रोना,cry
अंधेरा,dark
मशीन,machine
नोट,note
इंतजार,wait
योजना,plan
आंकड़ा,figure
सितारा,star
बॉक्स,box
क्षेत्र,field
बाकी,rest
सही,correct
सक्षम,able
पाउंड,pound
किया,done
सुंदरता,beauty
ड्राइव,drive
खड़ा हुआ,stood
होते हैं,contain
सामने,front
सिखाना,teach
सप्ताह,week
अंतिम,final
दिया,gave
हरे रंग,green
त्वरित,quick
विकसित,develop
सागर,ocean
गर्म,warm
मुक्त,free
मिनट,minute
विशेष,special
मन,mind
पीछे,behind
स्पष्ट,clear
पूंछ,tail
उत्पादन,produce
तथ्य,fact
अंतरिक्ष,space
सुना,heard
सर्वश्रेष्ठ,best
घंटे,hour
बेहतर,better
सच,TRUE
दौरान,during
सौ,hundred
पांच,five
याद,remember
शीघ्र,early
पकड़,hold
पश्चिम,west
जमीन,ground
ब्याज,interest
तक पहुँचने,reach
तेजी,fast
क्रिया,verb
गाना,sing
सुनो,listen
तालिका,table
यात्रा,travel
कम,less
दस,ten
सरल,simple
कई,several
स्वर,vowel
की ओर,toward
युद्ध,war
रखना,lay
के खिलाफ,against
पैटर्न,pattern
धीमी,slow
केंद्र,center
प्यार,love
व्यक्ति,person
धन,money
सेवा कर,serve
प्रकट,appear
सड़क,road
नक्शा,map
बारिश,rain
नियम,rule
शासन,govern
खींच,pull
ठंड,cold
नोटिस,notice
आवाज,voice
ऊर्जा,energy
शिकार,hunt
संभावित,probable
बिस्तर,bed
भाई,brother
अंडा,egg
सवारी,ride
सेल,cell
विश्वास है,believe
उठाओ,pick
अचानक,sudden
गिनती,count
वर्ग,square
लंबाई,length
विषय,subject
क्षेत्र,region
आकार,size
भिन्न हो,vary
बोलना,speak
वजन,weight
सामान्य,general
बर्फ,ice
मामला,matter
वृत्त,circle
जोड़ी,pair
शामिल,include
विभाजन,divide
शब्दांश,syllable
लगा,felt
गेंद,ball
अभी तक,yet
ड्रॉप,drop
दिल,heart
AM,am
वर्तमान,present
भारी,heavy
नृत्य,dance
इंजन,engine
बांह,arm
विस्तृत,wide
स्टील अथॉरिटी ऑफ इंडिया,sail
सामग्री,material
अंश,fraction
वन,forest
बैठना,sit
दौड़,race
दुकान,store
गर्मियों,summer
नींद,sleep
साबित,prove
लोन,lone
पैर,leg
व्यायाम,exercise
पकड़,catch
माउंट,mount
आसमान,sky
बोर्ड,board
हर्ष,joy
सर्दियों,winter
शनि,sat
जंगली,wild
साधन,instrument
रखा,kept
घास,grass
गाय,cow
काम,job
बढ़त,edge
साइन,sign
यात्रा,visit
अतीत,past
मुलायम,soft
मज़ा,fun
उज्ज्वल,bright
गैस,gas
मौसम,weather
माह,month
लाख,million
भालू,bear
खत्म,finish
खुश,happy
आशा,hope
फूल,flower
कपड़े,clothe
अजीब,strange
चला गया,gone
व्यापार,trade
राग,melody
यात्रा,trip
प्राप्त करना,receive
पंक्ति,row
मुंह,mouth
सटीक,exact
प्रतीक,symbol
मरना,die
कम से कम,least
मुसीबत,trouble
चिल्लाओ,shout
सिवाय,except
लिखा,wrote
स्वर,tone
शामिल होने,join
साफ,clean
तोड़,break
महिला,lady
वृद्धि,rise
बुरा,bad
झटका,blow
तेल,oil
खून,blood
स्पर्श,touch
बढ़ी,grew
टीम,team
तार,wire
लागत,cost
खोया,lost
ब्राउन,brown
पहनना,wear
बगीचा,garden
बराबर,equal
भेजा,sent
चयन,choose
फिट,fit
प्रवाह,flow
बैंक,bank
इकट्ठा,collect
बचा,save
कान,ear
बाकी,else
काफी,quite
मामले,case
बीच,middle
हत्या,kill
बेटा,son
झील,lake
पल,moment
जोर,loud
वसंत,spring
निरीक्षण,observe
बच्चे,child
सीधे,straight
राष्ट्र,nation
शब्दकोश,dictionary
दूध,milk
विधि,method
अंग,organ
भुगतान,pay
उम्र,age
अनुभाग,section
बादल,cloud
आश्चर्य,surprise
शांत,quiet
पत्थर,stone
छोटे,tiny
चढ़ाई,climb
शीतल,cool
डिजाइन,design
गरीब,poor
बहुत,lot
प्रयोग,experiment
तल,bottom
कुंजी,key
लोहा,iron
एकल,single
छड़ी,stick
फ्लैट,flat
बीस,twenty
त्वचा,skin
मुस्कान,smile
क्रीज,crease
छेद,hole
कूद,jump
बच्चे,baby
आठ,eight
गांव,village
मिलो,meet
जड़,root
खरीद,buy
उठाना,raise
हल,solve
धातु,metal
चाहे,whether
धक्का,push
सात,seven
पैरा,paragraph
तीसरे,third
करेगा,shall
आयोजित,held
बाल,hair
कुक,cook
मंजिल,floor
भी,either
परिणाम,result
जला,burn
पहाड़ी,hill
सुरक्षित,safe
बिल्ली,cat
सदी,century
विचार करना,consider
प्रकार,type
तट,coast
नकल,copy
वाक्यांश,phrase
लंबा,tall
रेत,sand
मिट्टी,soil
रोल,roll
तापमान,temperature
उंगली,finger
उद्योग,industry
मूल्य,value
लड़ाई,fight
झूठ,lie
हरा,beat
उत्तेजित,excite
प्राकृतिक,natural
देखें,view
भावना,sense
नहीं होगा,won’t
कुर्सी,chair
खतरे,danger
फल,fruit
सैनिक,soldier
प्रक्रिया,process
संचालित,operate
अभ्यास,practice
अलग,separate
कृपया,please
रक्षा,protect
फसल,crop
आधुनिक,modern
तत्व,element
मारना,hit
छात्र,student
कोने,corner
पार्टी,party
आपूर्ति,supply
जिसका,whose
स्थिति जानें,locate
अंगूठी,ring
चरित्र,character
कीट,insect
पकड़ा,caught
अवधि,period
संकेत मिलता है,indicate
रेडियो,radio
बात,spoke
एटम,atom
मानव,human
इतिहास,history
प्रभाव,effect
बिजली,electric
उम्मीद,expect
हड्डी,bone
रेल,rail
कल्पना,imagine
प्रदान,provide
इस प्रकार,thus
कोमल,gentle
महिला,woman
कप्तान,captain
अनुमान,guess
आवश्यक,necessary
तेज़,sharp
पंख,wing
बना,create
पड़ोसी,neighbor
धोने,wash
बल्ला,bat
बल्कि,rather
भीड़,crowd
तुलना,compare
कविता,poem
स्ट्रिंग,string
बेल,bell
निर्भर,depend
मांस,meat
रगड़,rub
ट्यूब,tube
प्रसिद्ध,famous
डॉलर,dollar
धारा,stream
डर,fear
दृष्टि,sight
ग्रह,planet
जल्दी करो,hurry
कॉलोनी,colony
मेरा,mine
टाई,tie
दर्ज,enter
प्रमुख,major
खोज,search
भेजें,send
पीले,yellow
की अनुमति,allow
प्रिंट,print
मृत,dead
हाजिर,spot
रेगिस्तान,desert
सूट,suit
वर्तमान,current
लिफ्ट,lift
गुलाब,rose
पहुंचना,arrive
मास्टर,master
ट्रैक,track
माता पिता,parent
किनारे,shore
विभाजन,division
चादर,sheet
पदार्थ,substance
एहसान,favor
कनेक्ट,connect
खर्च,spend
प्रसन्न,glad
मूल,original
शेयर,share
स्टेशन,station
पिता,dad
रोटी,bread
चार्ज,charge
उचित,proper
बार,bar
प्रस्ताव,offer
खंड,segment
बतख,duck
पल,instant
बाजार,market
डिग्री,degree
आबाद,populate
लड़की,chick
प्रिय,dear
दुश्मन,enemy
उत्तर,reply
पेय,drink
घटित,occur
समर्थन,support
प्रकृति,nature
सीमा,range
भाप,steam
प्रस्ताव,motion
पथ,path
तरल,liquid
लॉग इन करें,log
मतलब,meant
भागफल,quotient
दांत,teeth
गर्दन,neck
ऑक्सीजन,oxygen
चीनी,sugar
मौत,death
सुंदर,pretty
कौशल,skill
महिलाओं,women
मौसम,season
समाधान,solution
चुंबक,magnet
चांदी,silver
धन्यवाद,thank
शाखा,branch
मैच,match
प्रत्यय,suffix
विशेष रूप से,especially
डर,afraid
भारी,huge
बहन,sister
स्टील,steel
चर्चा,discuss
आगे,forward
इसी तरह,similar
गाइड,guide
अनुभव,experience
स्कोर,score
सेब,apple
खरीदा,bought
नेतृत्व,led
पिच,pitch
सामूहिक,mass
कार्ड,card
बैंड,band
रस्सी,rope
पर्ची,slip
जीत,win
सपना,dream
शाम,evening
शर्त,condition
फ़ीड,feed
उपकरण,tool
संपूर्ण,total
बुनियादी,basic
घाटी,valley
और न ही,nor
डबल,double
सीट,seat
जारी रखने के,continue
चार्ट,chart
टोपी,hat
बेचने,sell
सफलता,success
कंपनी,company
घटाना,subtract
विशेष,particular
तैरना,swim
अवधि,term
विपरीत,opposite
पत्नी,wife
जूता,shoe
कंधे,shoulder
प्रसार,spread
व्यवस्था,arrange
शिविर,camp
आविष्कार,invent
कपास,cotton
निर्धारित,determine
चौथाई गेलन,quart
नौ,nine
ट्रक,truck
शोर,noise
स्तर,level
संयोग,chance
इकट्ठा,gather
दुकान,shop
खिंचाव,stretch
फेंक,throw
चमक,shine
संपत्ति,property
स्तंभ,column
गलत,wrong
ग्रे,gray
दोहराना,repeat
आवश्यकता,require
तैयार,prepare
नमक,salt
नाक,nose
बहुवचन,plural
दावा,claim
महाद्वीप,continent
